p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512,512,512, , , ,-pencils, ,2 2 2,2 2 2,8,0.4444444444444444,0.4444444444444444,0.5,cufft,-338.592,12.545410871505736,polaris-gpu,8,64,4,True,5,4
double,512,512,512, ,-a2a, , , ,4 2 1,2 2 2,2,0.1111111111111111,0.4444444444444444,0.0,cufft,-243.516,18.179299354553223,polaris-gpu,8,64,4,True,5,4
double,512,512,512, , ,-p2p,-slabs, ,2 2 2,2 2 2,2,0.4444444444444444,0.4444444444444444,0.0,cufft,-304.275,23.49770188331604,polaris-gpu,8,64,4,True,5,4
float,512,512,512, , ,-p2p_pl,-slabs, ,8 1 1,4 2 1,16,0.0,0.1111111111111111,1.0,cufft,-867.2,26.2354109287262,polaris-gpu,8,64,4,True,3,4
double,512,512,512, , , ,-slabs,-r2c_dir 2,4 2 1,4 2 1,2,0.1111111111111111,0.1111111111111111,0.0,cufft,1.0,44.83313822746277,polaris-gpu,8,64,4,True,5,4
float,512,512,512,-reorder, ,-p2p_pl,-slabs, ,4 2 1,4 2 1,2,0.1111111111111111,0.1111111111111111,0.0,cufft,-348.79,32.02576398849487,polaris-gpu,8,64,4,True,3,4
float,512,512,512, , ,-p2p_pl,-slabs, ,8 1 1,4 2 1,16,0.0,0.1111111111111111,1.0,cufft,-769.634,31.96817922592163,polaris-gpu,8,64,4,True,2,4
double,512,512,512, , ,-p2p_pl,-slabs, ,4 2 1,4 2 1,4,0.1111111111111111,0.1111111111111111,0.25,cufft,-507.53,33.607622146606445,polaris-gpu,8,64,4,True,4,4
float,512,512,512, ,-a2a,-p2p_pl,-slabs, ,4 2 1,8 1 1,16,0.1111111111111111,0.0,1.0,cufft,-1028.76,35.89750123023987,polaris-gpu,8,64,4,True,2,4
float,512,512,512, , ,-p2p_pl, , ,8 1 1,4 2 1,16,0.0,0.1111111111111111,1.0,cufft,-825.686,37.35698199272156,polaris-gpu,8,64,4,True,3,4
float,512,512,512, ,-a2av,-p2p_pl,-slabs, ,8 1 1,4 2 1,16,0.0,0.1111111111111111,1.0,cufft,-867.01,38.74559760093689,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-no-reorder,-a2a,-p2p_pl,-slabs, ,8 1 1,8 1 1,16,0.0,0.0,1.0,cufft,-729.043,40.18207573890686,polaris-gpu,8,64,4,True,3,4
float,512,512,512, ,-a2a,-p2p_pl,-pencils, ,8 1 1,8 1 1,16,0.0,0.0,1.0,cufft,-775.604,41.57132077217102,polaris-gpu,8,64,4,True,2,4
float,512,512,512, ,-a2a,-p2p_pl,-slabs,-r2c_dir 1,8 1 1,2 2 2,16,0.0,0.4444444444444444,1.0,cufft,1.0,60.282203674316406,polaris-gpu,8,64,4,True,3,4
float,512,512,512, ,-a2a, ,-slabs, ,8 1 1,8 1 1,16,0.0,0.0,1.0,cufft,-497.411,44.61274480819702,polaris-gpu,8,64,4,True,2,4
double,512,512,512,-no-reorder,-a2av,-p2p_pl, ,-r2c_dir 2,8 1 1,4 2 1,16,0.0,0.1111111111111111,1.0,cufft,1.0,63.04002356529236,polaris-gpu,8,64,4,True,4,4
double,512,512,512,-no-reorder,-a2a,-p2p,-pencils, ,4 2 1,4 2 1,16,0.1111111111111111,0.1111111111111111,1.0,cufft,-340.181,49.06867265701294,polaris-gpu,8,64,4,True,2,4
