p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
double,128,128,128, ,-a2av, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-40.4667,188.54140090942383,polaris-gpu,16,64,4,True,0.0,0.0,0.5,2,4
double,128,128,128, ,-a2av, ,-pencils,-r2c_dir 1,16 1 1,16 1 1,2,cufft,-38.7637,190.71508812904358,polaris-gpu,16,64,4,True,0.0,0.0,0.0,2,4
double,128,128,128,-no-reorder,-a2a, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-52.3463,192.59015560150146,polaris-gpu,16,64,4,True,0.0,0.0,0.5,2,4
double,128,128,128, ,-a2a, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,16,cufft,-52.0759,194.80225896835327,polaris-gpu,16,64,4,True,0.0,0.0,1.0,2,4
double,128,128,128,-no-reorder,-a2a, ,-pencils,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-52.6249,196.77002048492432,polaris-gpu,16,64,4,True,0.0,0.0,0.5,2,4
double,128,128,128, ,-a2a, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,12,cufft,-52.4091,199.01143193244934,polaris-gpu,16,64,4,True,0.0,0.0,0.75,2,4
double,128,128,128,-no-reorder,-a2a, ,-slabs, ,16 1 1,16 1 1,8,cufft,-25.8443,201.38106608390808,polaris-gpu,16,64,4,True,0.0,0.0,0.5,3,4
double,128,128,128,-no-reorder,-a2a, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,16,cufft,-52.4983,203.1593906879425,polaris-gpu,16,64,4,True,0.0,0.0,1.0,4,4
double,128,128,128,-no-reorder,-a2av, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-40.1261,203.1891691684723,polaris-gpu,16,64,4,True,0.0,0.0,0.5,5,4
double,128,128,128,-reorder,-a2a, , , ,16 1 1,16 1 1,2,cufft,-38.9161,204.76405954360962,polaris-gpu,16,64,4,True,0.0,0.0,0.0,3,4
double,128,128,128,-no-reorder, , ,-slabs,-r2c_dir 2,16 1 1,16 1 1,16,cufft,-33.5087,206.619060754776,polaris-gpu,16,64,4,True,0.0,0.0,1.0,4,4
double,128,128,128,-no-reorder,-a2a, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,12,cufft,-54.4042,207.8076229095459,polaris-gpu,16,64,4,True,0.0,0.0,0.75,3,4
double,128,128,128,-no-reorder,-a2a, , ,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-53.1786,209.1552815437317,polaris-gpu,16,64,4,True,0.0,0.0,0.5,4,4
double,128,128,128,-no-reorder,-a2a,-p2p,-slabs,-r2c_dir 2,16 1 1,16 1 1,16,cufft,-28.5337,210.92025542259216,polaris-gpu,16,64,4,True,0.0,0.0,1.0,3,4
double,128,128,128,-no-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 2,16 1 1,16 1 1,12,cufft,-40.1299,212.0212197303772,polaris-gpu,16,64,4,True,0.0,0.0,0.75,4,4
double,128,128,128, ,-a2a, , ,-r2c_dir 2,16 1 1,16 1 1,16,cufft,-54.5753,213.47684240341187,polaris-gpu,16,64,4,True,0.0,0.0,1.0,3,4
double,128,128,128,-no-reorder, , , ,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-40.6923,214.88295340538025,polaris-gpu,16,64,4,True,0.0,0.0,0.5,4,4
double,128,128,128,-no-reorder,-a2a, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,4,cufft,-44.3868,216.42453289031982,polaris-gpu,16,64,4,True,0.0,0.0,0.25,3,4
double,128,128,128,-no-reorder,-a2a, , ,-r2c_dir 2,16 1 1,16 1 1,16,cufft,-53.977,219.12591338157654,polaris-gpu,16,64,4,True,0.0,0.0,1.0,3,4
double,128,128,128,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-40.8923,220.46647763252258,polaris-gpu,16,64,4,True,0.0,0.0,0.5,5,4
double,128,128,128,-no-reorder,-a2a, ,-pencils,-r2c_dir 1,16 1 1,16 1 1,8,cufft,1.0,221.0510745048523,polaris-gpu,16,64,4,True,0.0,0.0,0.5,2,4
double,128,128,128,-no-reorder,-a2a, , ,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-54.534,222.43511033058167,polaris-gpu,16,64,4,True,0.0,0.0,0.0,3,4
