p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,128,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,0.7870032369615363,0.5926028296569602,4,fftw,-32.3107,1197.1122334003448,theta-knl,4096,64,False,3,4
float,128,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,0.7327126875752479,0.43102089553979683,4,fftw,-24.2541,1197.3014097213745,theta-knl,4096,64,False,2,4
float,128, , ,-p2p_pl,-pencils,-r2c_dir 1,0.8523943104640979,0.5882388216668168,2,fftw,-31.9502,1216.1390118598938,theta-knl,4096,64,False,5,4
float,128, , ,-p2p_pl,-pencils,-r2c_dir 1,0.7412984707065271,0.5815051072180227,4,fftw,-32.0572,1223.6134436130524,theta-knl,4096,64,False,4,4
float,128,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.7862643434335235,0.5485323060336419,2,fftw,-34.7413,1237.2142958641052,theta-knl,4096,64,False,2,4
float,128, , ,-p2p_pl,-pencils,-r2c_dir 1,0.9295448049619203,0.537970598980522,2,fftw,-32.7841,1240.022207736969,theta-knl,4096,64,False,3,4
float,128,-no-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,0.7400688222833891,0.5860287386024562,2,fftw,-32.4852,1257.7210803031921,theta-knl,4096,64,False,5,4
float,128,-reorder, ,-p2p_pl, ,-r2c_dir 1,0.969745749304024,0.533867416557597,2,fftw,-32.7905,1263.732342004776,theta-knl,4096,64,False,4,4
float,128,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,0.7843382125614448,0.5717404271439431,2,fftw,-33.5636,1279.0717842578888,theta-knl,4096,64,False,2,4
float,128,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,0.7547161390706927,0.5146509526597253,4,fftw,-35.0053,1281.5633447170258,theta-knl,4096,64,False,3,4
float,128,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.9049474582686086,0.5470220347633714,2,fftw,-39.3181,1294.8625223636627,theta-knl,4096,64,False,5,4
float,128,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.8710524066935577,0.5923656182517472,2,fftw,-32.6075,1307.6300740242004,theta-knl,4096,64,False,4,4
float,128,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.7781164919886501,0.6080671851618258,4,fftw,-31.3146,1312.4338698387146,theta-knl,4096,64,False,2,4
float,128,-no-reorder, ,-p2p_pl,-pencils, ,0.785116277396034,0.5357204774813824,4,fftw,-25.1543,1323.2072722911835,theta-knl,4096,64,False,3,4
float,128,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.9079207643857544,0.5536711436824827,2,fftw,-31.8278,1337.1146221160889,theta-knl,4096,64,False,5,4
